maintenance_id,pump_id,maintenance_date,maintenance_type,description,cost_usd,downtime_hours,parts_replaced,technician_id,next_scheduled_date,work_order_number
MAINT_001,PUMP_001,2024-08-15,Preventive,Bearing replacement and lubrication,850.00,4.5,Bearing_6205ZZ;Grease_Shell_Gadus,TECH_05,2024-11-15,WO_240815_001
MAINT_002,PUMP_001,2024-06-10,Corrective,Impeller damage repair due to cavitation,1200.00,8.0,Impeller_CR64_Bronze,TECH_03,2024-09-10,WO_240610_002
MAINT_003,PUMP_002,2024-09-20,Preventive,Oil change and inspection,320.00,2.0,Oil_SAE30_5L,TECH_07,2024-12-20,WO_240920_003
MAINT_004,PUMP_003,2024-07-05,Emergency,Seal failure causing water leak,650.00,6.0,Mechanical_Seal_Kit,TECH_02,2024-10-05,WO_240705_004
MAINT_005,PUMP_004,2024-05-22,Preventive,Motor winding inspection and cleaning,450.00,3.0,None,TECH_05,2024-08-22,WO_240522_005
MAINT_006,PUMP_005,2024-08-08,Corrective,Pump housing crack repair,980.00,12.0,Epoxy_Repair_Kit;Gasket_Set,TECH_01,2024-11-08,WO_240808_006
MAINT_007,PUMP_002,2024-04-18,Preventive,Cable inspection and replacement,275.00,1.5,Submersible_Cable_50m,TECH_04,2024-07-18,WO_240418_007
MAINT_008,PUMP_006,2024-09-12,Preventive,Fire pump weekly test and maintenance,180.00,1.0,Test_Log_Update,TECH_06,2024-09-19,WO_240912_008
MAINT_009,PUMP_007,2024-06-25,Corrective,Dosing pump calibration adjustment,125.00,0.5,Calibration_Certificate,TECH_03,2024-09-25,WO_240625_009
MAINT_010,PUMP_008,2024-08-30,Preventive,Coupling alignment and vibration analysis,380.00,2.5,Coupling_Element,TECH_05,2024-11-30,WO_240830_010
MAINT_011,PUMP_009,2024-07-12,Emergency,Well pump motor failure,1850.00,24.0,Motor_14kW_Submersible,TECH_01,2024-10-12,WO_240712_011
MAINT_012,PUMP_010,2024-05-08,Preventive,Annual overhaul and performance test,2200.00,16.0,Impeller_Set;Bearing_Kit;Seals,TECH_02,2025-05-08,WO_240508_012
MAINT_013,PUMP_003,2024-09-15,Corrective,Variable speed drive repair,1100.00,8.0,VSD_Control_Board,TECH_04,2024-12-15,WO_240915_013
MAINT_014,PUMP_001,2024-10-01,Preventive,Quarterly inspection and minor adjustments,95.00,0.5,None,TECH_07,2025-01-01,WO_241001_014
MAINT_015,PUMP_004,2024-09-28,Corrective,Pressure sensor replacement,220.00,1.0,Pressure_Sensor_4-20mA,TECH_06,2024-12-28,WO_240928_015